ano,cod_conta,nomenclaturas_observadas
2025,DespesaComPessoalNaoComputadaIndenizacaoDemissaoVoluntaria,Indenizações por Demissão e Incentivos à Demissão Voluntária
2025,DespesaComPessoalNaoExecutadaOrcamentariamente,Despesa com Pessoal não Executada Orçamentariamente
2025,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (III) = (I - II) | DESPESA TOTAL COM PESSOAL - DTP (VI) = (IIIa + IIIb)
2025,DespesaTotalComPessoalPercentual2021,DTP em 2021 (X) (%)
2025,DespesaTotalComPessoalTrajetoriaDeRetornoAoLimite,DESPESA TOTAL COM PESSOAL - DTP (VI)
2025,DespesasNaoComputadasOutrasDeducoesConstitucionaisOuLegais,Outras Deduções Constitucionais ou Legais
2025,DespesasPensoesInativosEPensionistas,Pensões
2025,LimiteDeAlertaDespesaComPessoalTotal,"LIMITE DE ALERTA (IX) = (0,90 x VII) (inciso II do §1º do art. 59 da LRF)"
2025,LimiteMaximoDespesaComPessoalTotal,"LIMITE MÁXIMO (VII) (incisos I, II e III, art. 20 da LRF)"
2025,LimitePrudencialDespesaComPessoalTotal,"LIMITE PRUDENCIAL (VIII) = (0,95 x VII) (parágrafo único do art. 22 da LRF)"
2025,ObrigacoesPatronais,Obrigações Patronais
2025,OutrasDeducoesConstitucionaisOuLegais,(-) Outras Deduções Constitucionais ou Legais
2025,ParcelaDedutivelReferenteAoPisoSalarialDoEnfermeiroTecnicoDeEnfermagemAuxiliarDeEnfermagemEParteira,"Parcela dedutível referente ao piso salarial do Enfermeiro, Técnico de Enfermagem, Auxiliar de Enfermagem e Parteira (ADCT, art. 38, §2º)"
2025,PercentualDespesaTotalComPessoal,% DTP (VI / V)
2025,PercentualExcedenteDespesaComPessoal,Excedente em 2021 (XI) = (X - VII) (%)
