ano,ranking_ano,UF,nome_estado,DTP_RCL,Limite_Alerta,Limite_Prudencial,Limite_Maximo,situacao_fiscal
2024,15.0,SP,São Paulo,42.19,44.1,46.55,49.0,confortável
2024,16.0,PR,Paraná,42.71,44.1,46.55,49.0,confortável
2024,17.0,AP,Amapá,43.51,44.1,46.55,49.0,atenção
2024,18.0,CE,Ceará,43.54,44.1,46.55,49.0,atenção
2024,19.0,RS,Rio Grande do Sul,43.72,44.1,46.55,49.0,atenção
2024,20.0,MS,Mato Grosso do Sul,45.2,44.1,46.55,49.0,alerta
2024,21.0,TO,Tocantins,46.32,44.1,46.55,49.0,alerta
2024,22.0,RJ,Rio de Janeiro,46.76,44.1,46.55,49.0,acima do limite prudencial
2024,23.0,AC,Acre,46.77,44.1,46.55,49.0,acima do limite prudencial
2024,24.0,RR,Roraima,47.27,44.1,46.55,49.0,acima do limite prudencial
2024,25.0,PB,Paraíba,48.27,44.1,46.55,49.0,acima do limite prudencial
2024,26.0,MG,Minas Gerais,48.8,44.1,46.55,49.0,acima do limite prudencial
2024,27.0,RN,Rio Grande do Norte,57.56,44.1,46.55,49.0,acima do limite máximo
2025,1.0,MA,Maranhão,30.14,44.1,46.55,49.0,confortável
2025,2.0,ES,Espírito Santo,35.41,44.1,46.55,49.0,confortável
2025,3.0,MT,Mato Grosso,36.28,44.1,46.55,49.0,confortável
2025,4.0,PI,Piauí,37.8,44.1,46.55,49.0,confortável
2025,5.0,PA,Pará,38.07,43.74,46.17,48.6,confortável
2025,6.0,AM,Amazonas,38.09,44.1,46.55,49.0,confortável
2025,7.0,AP,Amapá,38.46,44.1,46.55,49.0,confortável
2025,8.0,RO,Rondônia,38.49,44.1,46.55,49.0,confortável
2025,9.0,SC,Santa Catarina,38.72,44.1,46.55,49.0,confortável
2025,10.0,AL,Alagoas,38.77,44.1,46.55,49.0,confortável
2025,11.0,GO,Goiás,39.96,43.74,46.17,48.6,confortável
2025,12.0,BA,Bahia,40.36,43.74,46.17,48.6,confortável
2025,13.0,CE,Ceará,40.92,44.1,46.55,49.0,confortável
2025,14.0,SE,Sergipe,41.23,44.1,46.55,49.0,confortável
2025,15.0,SP,São Paulo,41.29,44.1,46.55,49.0,confortável
2025,16.0,PE,Pernambuco,41.31,44.1,46.55,49.0,confortável
2025,17.0,DF,Distrito Federal,41.46,44.1,46.55,49.0,confortável
2025,18.0,PR,Paraná,42.46,44.1,46.55,49.0,confortável
2025,19.0,RS,Rio Grande do Sul,44.16,44.1,46.55,49.0,alerta
2025,20.0,MS,Mato Grosso do Sul,44.2,44.1,46.55,49.0,alerta
2025,21.0,TO,Tocantins,44.31,44.1,46.55,49.0,alerta
2025,22.0,PB,Paraíba,44.74,44.1,46.55,49.0,alerta
2025,23.0,RR,Roraima,44.8,44.1,46.55,49.0,alerta
2025,24.0,RJ,Rio de Janeiro,45.74,44.1,46.55,49.0,alerta
2025,25.0,AC,Acre,47.99,44.1,46.55,49.0,acima do limite prudencial
2025,26.0,MG,Minas Gerais,48.22,44.1,46.55,49.0,acima do limite prudencial
2025,27.0,RN,Rio Grande do Norte,56.41,44.1,46.55,49.0,acima do limite máximo
